"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Brian Shackelford","Reds (AAA)","29","17","1","2","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1.000","2461"
"Juan Cruz","Diamondbacks (AAA)","27","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.000","273"
"Brian Sanches","Phillies (AAA)","27","9","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.000","2739"
"Scott Munter","Giants (AA)","26","9","1","1","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1.000","3470"
"John Thomson","Braves (AA)","32","1","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1.000","453"
"Brian Sikorski","Padres (AAA)","31","14","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.000","7603"
"Taylor Tankersley","Marlins (AA)","23","22","1","2","1","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1.000","8249"
"Jim Abbott","Reds (AA)","26","12","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.000","sa199494"
"Jon Skaggs","Astros (AA)","28","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.000","sa200914"
"Felipe Garcia","Pirates (A+)","23","1","1","1","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1.000","sa244305"
"Danni Delgado","Tigers/Marlins (R)","19","1","1","1","1","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","1.000","sa3000145"
"Salvador Villarreal","Mexican (AAA)","28","1","1","1","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1.000","sa3000355"
"Hector Garcia","Athletics (R)","20","1","1","2","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1.000","sa393044"
"Melvin Mancebo","Nationals (R)","22","2","5","5","4","2","2","0","0","2","1","0","0","0","0","0","0","0","0","0",".800","sa254542"
"Brad Salmon","- - -","26","31","4","4","3","2","1","0","0","3","0","0","0","0","0","0","0","0","0","0",".750","2625"
"Casey Daigle","Diamondbacks (AAA)","25","27","3","4","2","2","0","0","0","2","0","0","0","0","0","0","1","0","0","0",".667","1880"
"Rene Rivera","Mariners (AAA)","22","1","3","3","2","1","1","0","0","1","0","0","0","1","0","0","0","0","0","0",".667","3648"
"Ramon Castro","Mets (R)","30","1","3","3","2","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0",".667","514"
"Angel Sanchez","Athletics (R)","20","1","3","3","2","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0",".667","sa3000137"
"Julio Marinez","Marlins (R)","19","1","3","3","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".667","sa3001491"
"Brandon Backe","Astros (AAA)","28","3","5","7","3","1","2","0","0","2","3","2","0","0","0","0","0","0","0","0",".600","1529"
"Jung Keun Bong","Reds (AA)","25","4","5","6","3","1","2","0","0","1","1","1","0","1","0","0","0","0","0","0",".600","82"
"Ramon Morales","Mexican (AAA)","24","9","16","17","9","8","1","0","0","3","4","0","0","1","1","0","0","0","0","0",".563","sa3001395"
"Juan Rivera","Angels (AAA)","27","2","9","10","5","1","3","0","1","3","6","1","0","0","0","0","0","1","0","0",".556","843"
"Mark DeRosa","Rangers (AAA)","31","3","12","12","6","5","1","0","0","2","0","0","0","1","0","0","0","0","0","0",".500","1392"
"Jason Johnson","Reds (AAA)","32","1","2","2","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0",".500","147"
"Brad Voyles","Cardinals (AAA)","29","2","2","2","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0",".500","1490"
"Mike Gallo","Astros (AAA)","29","25","2","3","1","1","0","0","0","0","0","0","0","1","0","0","1","0","0","0",".500","1759"
"Nomar Garciaparra","Dodgers (AAA)","32","2","8","8","4","2","2","0","0","3","1","0","0","0","0","0","0","0","0","0",".500","190"
"Buddy Carlyle","Marlins (AAA)","28","8","2","2","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0",".500","2010"
