"Name","Team","Age","PA","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","Pull%","Cent%","Oppo%","SwStr%","Balls","Strikes","Pitches","playerid"
"John Wasdin","Cardinals (AAA)","35","19",".333","7.00","20.0 %","70.0 %","10.0 %","0.0 %","100.0 %","25.0 %","75.0 %","0.0 %","17.2 %","12","52","64","1768"
"Matt Holliday","Rockies (AAA)","28","11",".833","3.00","42.9 %","42.9 %","14.3 %","0.0 %","100.0 %","37.5 %","25.0 %","37.5 %","15.2 %","20","26","46","1873"
"Adam LaRoche","Pirates (A)","28","12",".625","3.00","55.6 %","33.3 %","11.1 %","0.0 %","100.0 %","44.4 %","11.1 %","44.4 %","11.8 %","16","18","34","1904"
"Howie Kendrick","- - -","24","11",".500","4.00","0.0 %","80.0 %","20.0 %","0.0 %","100.0 %","70.0 %","20.0 %","10.0 %","10.0 %","10","20","30","4229"
"Josh Johnson","Marlins (AA)","24","7",".500","1.00","33.3 %","33.3 %","33.3 %","0.0 %","100.0 %","0.0 %","33.3 %","66.7 %","40.0 %","0","15","15","4567"
"Chris Snyder","Diamondbacks (A+)","27","5",".500","2.00","0.0 %","100.0 %","0.0 %","0.0 %","100.0 %","100.0 %","0.0 %","0.0 %","33.3 %","0","9","9","4606"
"Mike Koplove","Dodgers (AAA)","31","6",".000","1.00","0.0 %","50.0 %","50.0 %","0.0 %","100.0 %","0.0 %","33.3 %","66.7 %","8.7 %","7","16","23","63"
"Mitch Atkins","- - -","22","47",".407","22.00","17.9 %","78.6 %","3.6 %","0.0 %","100.0 %","53.1 %","25.0 %","21.9 %","20.8 %","16","80","96","8369"
"Pedro Feliz","- - -","33","12",".333","1.33","12.5 %","50.0 %","37.5 %","0.0 %","66.7 %","50.0 %","12.5 %","37.5 %","40.9 %","5","17","22","1112"
"Moises Alou","- - -","41","12",".455","3.00","33.3 %","50.0 %","16.7 %","0.0 %","50.0 %","33.3 %","33.3 %","33.3 %","0.0 %","0","12","12","261"
"Josh Outman","Phillies (AA)","23","9",".200","1.50","16.7 %","50.0 %","33.3 %","0.0 %","50.0 %","0.0 %","28.6 %","71.4 %","22.7 %","7","15","22","4004"
"Gregg Zaun","Blue Jays (AAA)","37","8",".200","1.00","33.3 %","33.3 %","33.3 %","0.0 %","50.0 %","50.0 %","0.0 %","50.0 %","8.0 %","9","16","25","580"
"Anthony Reyes","Cardinals (AAA)","26","13",".200","2.00","0.0 %","66.7 %","33.3 %","0.0 %","50.0 %","16.7 %","50.0 %","33.3 %","26.1 %","16","30","46","7105"
"Aaron Thompson","Marlins (AA)","21","28",".625","1.50","37.5 %","37.5 %","25.0 %","0.0 %","50.0 %","40.0 %","20.0 %","40.0 %","43.1 %","21","44","65","999"
"Richy Paulino","Phillies (R)","17","5",".333","1.00","0.0 %","50.0 %","50.0 %","0.0 %","50.0 %","0.0 %","50.0 %","50.0 %","0.0 %","0","5","5","sa3000911"
"Grant Desme","Athletics (R)","22","4",".000","0.50","0.0 %","33.3 %","66.7 %","0.0 %","50.0 %","0.0 %","66.7 %","33.3 %","0.0 %","1","3","4","sa389287"
"Dave Roberts","Giants (AAA)","36","37",".435","2.80","24.0 %","56.0 %","20.0 %","0.0 %","40.0 %","48.0 %","16.0 %","36.0 %","2.4 %","70","100","170","670"
"Tadahito Iguchi","Padres (A+)","33","11",".333","0.20","14.3 %","14.3 %","71.4 %","0.0 %","40.0 %","50.0 %","25.0 %","25.0 %","0.0 %","4","14","18","8581"
"Corky Miller","Braves (AAA)","32","67",".350","1.69","22.2 %","48.9 %","28.9 %","30.8 %","38.5 %","60.0 %","8.9 %","31.1 %","6.7 %","106","161","267","342"
"David Ortiz","- - -","32","22",".182","0.38","15.4 %","23.1 %","61.5 %","50.0 %","37.5 %","50.0 %","14.3 %","35.7 %","16.0 %","36","39","75","745"
"Jorge Vazquez","Mexican (AAA)","26","246",".360","1.30","30.7 %","39.2 %","30.1 %","28.3 %","34.0 %","46.4 %","24.0 %","29.6 %","9.9 %","316","512","828","sa491894"
"Mike Cameron","Brewers (AAA)","35","18",".200","1.00","14.3 %","42.9 %","42.9 %","0.0 %","33.3 %","72.7 %","9.1 %","18.2 %","10.0 %","33","47","80","1070"
"Hideki Matsui","Yankees (A+)","34","10",".143","1.00","14.3 %","42.9 %","42.9 %","0.0 %","33.3 %","50.0 %","0.0 %","50.0 %","0.0 %","8","8","16","1659"
"Jose Bautista","Pirates (AAA)","27","23",".333","0.83","21.4 %","35.7 %","42.9 %","50.0 %","33.3 %","64.3 %","21.4 %","14.3 %","7.7 %","47","57","104","1887"
"Ruddy Lugo","Mets (AAA)","28","36",".250","4.67","10.5 %","73.7 %","15.8 %","33.3 %","33.3 %","45.5 %","22.7 %","31.8 %","12.9 %","31","93","124","2710"
"Dioner Navarro","Rays (A+)","24","18",".375","1.33","22.2 %","44.4 %","33.3 %","0.0 %","33.3 %","55.6 %","22.2 %","22.2 %","2.6 %","26","12","38","3179"
"Jeremy Hermida","Marlins (A+)","24","19",".364","1.33","36.4 %","36.4 %","27.3 %","66.7 %","33.3 %","41.7 %","8.3 %","50.0 %","16.2 %","16","21","37","7208"
"Deunte Heath","Braves (AA)","22","18",".429","1.33","0.0 %","57.1 %","42.9 %","66.7 %","33.3 %","22.2 %","66.7 %","11.1 %","31.6 %","8","30","38","7371"
"Eric Stults","Dodgers (AAA)","28","31",".313","3.33","23.5 %","58.8 %","17.6 %","0.0 %","33.3 %","52.4 %","19.1 %","28.6 %","11.5 %","34","79","113","8011"
"Andruw Jones","Dodgers (AAA)","31","36",".250","1.17","3.7 %","51.9 %","44.4 %","8.3 %","33.3 %","35.7 %","21.4 %","42.9 %","14.3 %","38","81","119","96"
"Chris Volstad","Marlins (AA)","21","26",".267","4.00","6.3 %","75.0 %","18.8 %","0.0 %","33.3 %","40.0 %","50.0 %","10.0 %","32.4 %","1","36","37","9901"
"Dan Smith","Braves (AA)","24","15",".286","1.67","0.0 %","62.5 %","37.5 %","0.0 %","33.3 %","66.7 %","22.2 %","11.1 %","44.4 %","0","27","27","sa226298"
"Edgar Trejo","Brewers (R)","18","11",".429","1.33","12.5 %","50.0 %","37.5 %","0.0 %","33.3 %","50.0 %","37.5 %","12.5 %","35.3 %","0","17","17","sa392827"
"Jonathan Van Every","Red Sox (AAA)","28","442",".374","1.13","20.8 %","42.1 %","37.1 %","9.8 %","31.7 %","44.3 %","30.1 %","25.7 %","15.8 %","769","1107","1876","3409"
"Dallas McPherson","Marlins (AAA)","27","530",".335","0.65","15.1 %","33.3 %","51.6 %","14.6 %","29.2 %","46.7 %","24.9 %","28.4 %","19.7 %","828","1278","2106","2194"
"Pat O'Sullivan","Mexican (AAA)","31","111",".410","1.57","34.9 %","39.8 %","25.3 %","0.0 %","28.6 %","41.7 %","22.6 %","35.7 %","9.2 %","149","233","382","sa3001376"
"Lyndon Estill","- - -","21","314",".377","2.89","18.7 %","60.4 %","20.9 %","0.0 %","28.6 %","39.3 %","22.9 %","37.9 %","37.1 %","184","515","699","sa390628"
"Kris Sanchez","Mariners (R)","24","154",".378","1.20","10.2 %","49.0 %","40.8 %","7.5 %","27.5 %","48.0 %","27.5 %","24.5 %","26.2 %","81","201","282","sa392876"
"Kit Pellow","Mexican (AAA)","34","438",".389","0.81","28.7 %","31.8 %","39.5 %","14.5 %","27.4 %","46.1 %","30.1 %","23.8 %","11.5 %","590","897","1487","1576"
"Michael Ryan","Marlins (AAA)","30","118",".347","0.91","25.0 %","35.7 %","39.3 %","12.1 %","27.3 %","57.7 %","27.1 %","15.3 %","9.2 %","174","285","459","1643"
"Justin Upton","Diamondbacks (AAA)","20","68",".438","1.55","17.6 %","50.0 %","32.4 %","9.1 %","27.3 %","54.3 %","20.0 %","25.7 %","15.9 %","108","175","283","5222"
"Kalian Sams","Mariners (R)","21","122",".235","0.51","6.7 %","31.7 %","61.7 %","21.6 %","27.0 %","45.9 %","24.6 %","29.5 %","44.5 %","51","203","254","sa381343"
"Kila Ka'aihue","- - -","24","515",".295","1.03","17.3 %","42.0 %","40.8 %","21.2 %","27.0 %","53.4 %","22.1 %","24.5 %","7.0 %","974","1114","2088","4707"
"Jason Dubois","- - -","29","383",".305","0.78","17.9 %","35.9 %","46.2 %","18.5 %","26.9 %","47.3 %","29.7 %","23.0 %","16.0 %","552","881","1433","1941"
"Kelley Gulledge","- - -","29","101",".314","1.93","20.0 %","52.7 %","27.3 %","53.3 %","26.7 %","60.7 %","19.6 %","19.6 %","29.4 %","67","168","235","sa199856"
"Nelson Cruz","- - -","27","454",".357","0.75","18.7 %","34.8 %","46.5 %","15.8 %","26.6 %","41.1 %","26.8 %","32.1 %","11.3 %","712","1024","1736","2434"
"Giancarlo Stanton","Marlins (A)","18","540",".351","0.77","16.4 %","36.3 %","47.3 %","19.7 %","26.5 %","50.8 %","23.0 %","26.2 %","31.7 %","270","796","1066","4949"
"Jay Bruce","Reds (AAA)","21","201",".425","1.45","34.5 %","38.7 %","26.8 %","18.4 %","26.3 %","43.5 %","31.7 %","24.8 %","13.0 %","281","472","753","9892"
"Alexander Soto","Twins (R)","21","128",".333","0.63","16.2 %","32.4 %","51.4 %","23.7 %","26.3 %","43.4 %","27.6 %","29.0 %","39.2 %","44","196","240","sa393005"
"Lance West","Orioles (R)","20","92",".293","0.95","15.9 %","40.9 %","43.2 %","10.5 %","26.3 %","60.9 %","19.6 %","19.6 %","49.2 %","29","152","181","sa455620"
"Fernando Tatis","Mets (AAA)","33","139",".200","0.70","17.0 %","34.0 %","48.9 %","23.9 %","26.1 %","56.7 %","18.6 %","24.7 %","11.1 %","228","332","560","798"
"Josh Vittek","Royals (R)","22","171",".418","1.29","22.0 %","44.0 %","34.1 %","12.9 %","25.8 %","37.8 %","30.6 %","31.6 %","41.8 %","54","276","330","sa456598"
"Gary Sheffield","Tigers (A+)","39","19",".000","0.38","0.0 %","27.3 %","72.7 %","12.5 %","25.0 %","50.0 %","16.7 %","33.3 %","2.6 %","24","15","39","114"
"Mike Napoli","Angels (A+)","26","17",".583","1.00","38.5 %","30.8 %","30.8 %","0.0 %","25.0 %","53.9 %","15.4 %","30.8 %","0.0 %","9","19","28","3057"
"Brad Eldred","White Sox (AAA)","27","469",".275","0.65","18.7 %","32.0 %","49.3 %","25.7 %","25.0 %","47.6 %","28.5 %","24.0 %","20.6 %","544","1084","1628","4328"
"Ryan Spilborghs","Rockies (AAA)","28","36",".333","3.75","20.8 %","62.5 %","16.7 %","0.0 %","25.0 %","48.0 %","28.0 %","24.0 %","5.4 %","66","101","167","4521"
"Delwyn Young","Dodgers (AAA)","26","56",".368","2.08","7.5 %","62.5 %","30.0 %","8.3 %","25.0 %","48.8 %","22.0 %","29.3 %","6.5 %","93","123","216","4563"
"Brad Wilkerson","Blue Jays (A+)","31","12",".500","0.50","33.3 %","22.2 %","44.4 %","50.0 %","25.0 %","55.6 %","33.3 %","11.1 %","31.6 %","4","15","19","804"
"Eric Chavez","Athletics (AAA)","30","33",".429","1.50","13.0 %","52.2 %","34.8 %","0.0 %","25.0 %","39.1 %","17.4 %","43.5 %","9.4 %","45","72","117","906"
"Rob Mackowiak","Reds (AAA)","32","184",".330","3.25","11.5 %","67.7 %","20.8 %","0.0 %","25.0 %","40.0 %","25.0 %","35.0 %","10.5 %","357","444","801","995"
"Japhet Amador","Mexican (AAA)","21","36",".296","4.50","21.4 %","64.3 %","14.3 %","0.0 %","25.0 %","53.6 %","32.1 %","14.3 %","10.5 %","40","74","114","sa508601"
"Josh Phelps","Cardinals (AAA)","30","528",".317","1.21","18.9 %","44.5 %","36.6 %","11.1 %","24.6 %","52.5 %","23.9 %","23.6 %","12.0 %","792","1197","1989","1318"
"Donnie Murphy","- - -","25","157",".326","0.67","20.2 %","31.9 %","47.9 %","24.4 %","24.4 %","59.6 %","18.2 %","22.2 %","18.4 %","214","395","609","4704"
"Felix Carrasco","Padres (A)","21","450",".360","1.65","21.2 %","49.1 %","29.7 %","7.6 %","24.2 %","46.7 %","21.6 %","31.7 %","31.6 %","257","722","979","sa328840"
"Russell Branyan","Brewers (AAA)","32","179",".467","0.74","16.3 %","35.6 %","48.1 %","16.0 %","24.0 %","50.0 %","20.2 %","29.8 %","14.7 %","296","411","707","370"
"Angel Morales","Twins (R)","18","218",".417","0.40","17.8 %","23.4 %","58.9 %","15.9 %","23.8 %","45.1 %","17.1 %","37.8 %","39.7 %","122","329","451","sa390382"
"Jeff Clement","Mariners (AAA)","24","211",".341","0.88","21.8 %","36.6 %","41.5 %","16.9 %","23.7 %","49.0 %","21.0 %","30.1 %","5.8 %","360","473","833","4652"
"Chris Davis","- - -","22","329",".371","0.76","22.3 %","33.6 %","44.1 %","13.4 %","23.7 %","41.7 %","25.9 %","32.5 %","14.7 %","475","821","1296","9272"
"Michael Ambort","Giants (A-)","23","129",".341","1.03","15.4 %","42.9 %","41.8 %","13.2 %","23.7 %","41.5 %","30.9 %","27.7 %","21.4 %","54","161","215","sa327808"
"Jason Botts","Rangers (AAA)","27","76",".324","1.00","15.0 %","42.5 %","42.5 %","29.4 %","23.5 %","46.3 %","24.4 %","29.3 %","13.2 %","147","208","355","2907"
"Cory Aldridge","Royals (AA)","29","195",".287","1.42","20.0 %","46.9 %","33.1 %","18.6 %","23.3 %","46.6 %","25.6 %","27.8 %","11.1 %","305","463","768","1405"
"Matt Joyce","Tigers (AAA)","23","227",".325","0.89","22.6 %","36.5 %","40.9 %","16.1 %","23.2 %","53.2 %","23.0 %","23.7 %","15.2 %","311","563","874","3353"
"Max Ramirez","- - -","23","337",".400","1.00","23.7 %","38.1 %","38.1 %","11.0 %","23.2 %","53.4 %","28.8 %","17.8 %","9.2 %","527","774","1301","5039"
"Mike Hessman","Tigers (AAA)","30","473",".322","0.48","16.5 %","26.9 %","56.5 %","25.9 %","23.1 %","51.3 %","24.0 %","24.7 %","15.1 %","779","1169","1948","1808"
"Brian Pellegrini","Astros (A)","23","363",".250","0.89","18.5 %","38.4 %","43.1 %","24.2 %","23.1 %","53.2 %","16.7 %","30.1 %","33.5 %","176","513","689","sa389809"
"Erik Lovett","Yankees (A-)","22","59",".364","1.15","17.6 %","44.1 %","38.2 %","7.7 %","23.1 %","61.1 %","11.1 %","27.8 %","33.3 %","12","96","108","sa455141"
"Charlton Jimerson","Mariners (AAA)","28","219",".317","1.27","16.2 %","46.9 %","36.9 %","31.3 %","22.9 %","49.6 %","25.6 %","24.8 %","22.6 %","208","556","764","2171"
"Rocco Baldelli","- - -","26","86",".269","1.23","10.9 %","49.1 %","40.0 %","27.3 %","22.7 %","45.6 %","22.8 %","31.6 %","24.5 %","43","108","151","1656"
"Ruben Mateo","Mexican (AAA)","30","108",".227","1.91","19.0 %","53.2 %","27.8 %","13.6 %","22.7 %","51.3 %","21.3 %","27.5 %","12.1 %","116","239","355","340"
