"Name","Team","Age","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Jason Stoffel","Astros (AA)","23","2","0.0 %","0.0 %","0.00","1.000","1.000","1.500","2.500",".500","2.6","1.000","0.0","1","1.2","1.103","622","sa501226"
"Nabil Crismatt","Mets (R)","17","1","0.0 %","0.0 %","0.00","1.000","1.000","1.000","2.000",".000","0.1","1.000","0.0","1","0.5",".985","484","sa657397"
"Edgmer Escalona","Rockies (AAA)","25","2","0.0 %","50.0 %","0.00",".500",".500","2.000","2.500","1.500","0.1",".000","0.0","1","1.1",".983","517","8574"
"Scott Weismann","Cubs (AA)","22","1","0.0 %","0.0 %","0.00","1.000","1.000","1.000","2.000",".000","0.1","1.000","0.0","1","0.5",".933","505","sa455418"
"Eric Marzec","Brewers (AA)","24","1","0.0 %","0.0 %","0.00","1.000","1.000","1.000","2.000",".000","0.1","1.000","0.0","1","0.5",".933","505","sa546696"
"Matt Campbell","Phillies (A)","24","1","0.0 %","0.0 %","0.00","1.000","1.000","1.000","2.000",".000","0.1","1.000","0.0","1","0.5",".931","482","sa550185"
"Jose Dominguez","- - -","21","1","0.0 %","0.0 %","0.00","1.000","1.000","1.000","2.000",".000","0.1","1.000","0.0","1","0.5",".924","488","11571"
"Antonio Garzon","Mexican (AAA)","27","1","0.0 %","0.0 %","0.00","1.000","1.000","1.000","2.000",".000","0.1","1.000","0.0","1","0.5",".915","467","sa509479"
"Andrew Brackman","Reds (AAA)","26","2","0.0 %","0.0 %","0.00","1.000","1.000","1.000","2.000",".000","0.1","1.000","0.0","1","0.9",".914","502","2365"
"Wil Ledezma","Dodgers (AAA)","31","1","0.0 %","0.0 %","0.00","1.000","1.000","1.000","2.000",".000","0.1","1.000","0.0","1","0.5",".909","469","1669"
"Xavier Cedeno","Astros (AAA)","25","2","0.0 %","0.0 %","0.00","1.000","1.000","1.000","2.000",".000","0.1","1.000","0.0","1","1.0",".909","469","36"
"Eric Smith","Diamondbacks (AA)","23","2","50.0 %","0.0 %","1.00","1.000","1.000","1.000","2.000",".000","2.6","1.000","0.0","1","0.8",".831","436","sa500819"
