"Name","Team","Age","W","L","ERA","G","GS","CG","ShO","SV","BS","HLD","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","playerid"
"Robin Jennings","Nationals (AAA)","35","0","0","0.00","2","0","0","0","0","0","0","1.1","6","2","0","0","0","0","0","0","0","0","0","1006397"
"Dane De La Rosa","Brewers (R)","24","0","0","0.00","1","0","0","0","0","0","1","2.0","8","1","0","0","0","1","0","0","2","0","3","10095"
"Kevin Millwood","Rangers (AA)","32","0","0","0.00","1","1","0","0","0","0","0","5.0","17","1","0","0","0","1","0","0","0","0","3","106"
"Desi Relaford","Rangers (AAA)","33","0","0","0.00","1","0","0","0","0","0","0","2.0","8","1","1","0","0","1","0","0","0","0","0","1096"
"Aaron Fultz","- - -","33","0","0","0.00","2","1","0","0","0","0","0","2.0","6","0","0","0","0","0","0","0","0","0","2","1113"
"Jason Schmidt","Dodgers (A+)","34","0","0","0.00","1","1","0","0","0","0","0","6.0","20","2","0","0","0","1","0","0","0","0","7","1131"
"Jay Witasick","- - -","34","1","0","0.00","8","2","0","0","1","0","0","9.1","35","3","0","0","0","3","0","0","3","0","9","1138"
"Jesus Colome","- - -","29","1","0","0.00","3","1","0","0","0","0","0","4.0","14","2","0","0","0","0","0","0","0","0","4","1198"
"Joe Kennedy","Blue Jays (AAA)","28","0","0","0.00","2","0","0","0","0","0","0","2.2","11","2","0","0","0","1","0","0","0","0","3","1217"
"Pete Walker","Yankees (R)","38","0","0","0.00","4","3","0","0","1","0","0","6.0","26","5","1","0","0","0","0","1","1","0","9","1325"
"Oliver Perez","Mets (R)","25","0","0","0.00","1","1","0","0","0","0","0","4.0","15","2","0","0","0","0","0","1","0","0","7","1514"
"Nate Robertson","Tigers (AA)","29","1","0","0.00","1","1","0","0","0","0","0","6.0","19","0","0","0","0","1","0","0","0","0","6","1620"
"Salomon Torres","- - -","35","0","0","0.00","3","2","0","0","0","0","0","4.1","15","3","0","0","0","0","0","0","0","0","7","1628"
"Steve Colyer","Braves (AAA)","28","0","0","0.00","2","0","0","0","0","0","0","2.0","8","2","0","0","0","0","0","0","0","0","1","1678"
"Todd Wellemeyer","Cardinals (AA)","28","0","0","0.00","1","1","0","0","0","0","0","1.0","7","3","2","0","0","1","0","0","0","0","2","1709"
"Rich Harden","Athletics (AAA)","25","0","0","0.00","1","0","0","0","0","0","1","1.0","4","1","0","0","0","0","0","0","0","0","1","1772"
