"Name","Team","Age","IP","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","Pull%","Cent%","Oppo%","SwStr%","Balls","Strikes","Pitches","playerid"
"Justin Marks","Athletics (R)","21","0.0","1.000","2.00","0.0 %","66.7 %","33.3 %","0.0 %","100.0 %","33.3 %","33.3 %","33.3 %","0.0 %","18","4","22","10265"
"Carlos Maldonado","Red Sox (AAA)","30","0.0",".000","0.00","0.0 %","0.0 %","100.0 %","0.0 %","100.0 %","0.0 %","100.0 %","0.0 %","0.0 %","4","4","8","2034"
"Jose Yepez","Mariners (A+)","28","0.1",".500","0.50","0.0 %","33.3 %","66.7 %","0.0 %","100.0 %","66.7 %","0.0 %","33.3 %","11.8 %","6","11","17","sa209508"
"Arturo Salcido","Mexican (AAA)","26","0.1","1.000","0.00","100.0 %","0.0 %","0.0 %","0.0 %","100.0 %","50.0 %","0.0 %","50.0 %","10.3 %","19","10","29","sa3000653"
"John Slusarz","- - -","24","2.1",".429","4.00","37.5 %","50.0 %","12.5 %","0.0 %","100.0 %","25.0 %","37.5 %","37.5 %","0.0 %","21","16","37","sa327101"
"Jose Bierd","Mets (R)","24","2.0",".000","4.00","0.0 %","80.0 %","20.0 %","0.0 %","100.0 %","40.0 %","20.0 %","40.0 %","54.6 %","0","11","11","sa393222"
"Lauro Ramirez","Mexican (AAA)","18","0.2",".714","2.00","33.3 %","44.4 %","22.2 %","0.0 %","100.0 %","33.3 %","22.2 %","44.4 %","3.1 %","11","21","32","sa508538"
"Chris Volstad","Marlins (AAA)","22","4.0",".429","0.67","37.5 %","25.0 %","37.5 %","33.3 %","66.7 %","33.3 %","22.2 %","44.4 %","9.7 %","32","40","72","9901"
"Caleb Cotham","- - -","21","8.0",".353","5.50","27.8 %","61.1 %","11.1 %","0.0 %","50.0 %","33.3 %","11.1 %","55.6 %","46.0 %","14","60","74","10075"
"Tanyon Sturtze","Dodgers (AAA)","38","7.1",".364","7.50","22.7 %","68.2 %","9.1 %","50.0 %","50.0 %","47.8 %","17.4 %","34.8 %","10.0 %","57","83","140","1230"
"Tyler Johnson","Mariners (AAA)","28","2.2",".462","2.00","14.3 %","57.1 %","28.6 %","25.0 %","50.0 %","40.0 %","26.7 %","33.3 %","7.7 %","30","35","65","3404"
"Derek Holland","Rangers (AAA)","22","4.0",".500","2.00","33.3 %","44.4 %","22.2 %","50.0 %","50.0 %","66.7 %","11.1 %","22.2 %","6.2 %","31","50","81","4141"
"Nate Spears","Cubs (AAA)","24","1.0",".000","0.25","0.0 %","20.0 %","80.0 %","0.0 %","50.0 %","80.0 %","20.0 %","0.0 %","5.3 %","8","11","19","6026"
"Craig Stansberry","Padres (AAA)","27","1.0",".333","0.00","50.0 %","0.0 %","50.0 %","50.0 %","50.0 %","75.0 %","0.0 %","25.0 %","5.6 %","9","9","18","6256"
"Buddy Baumann","Royals (R)","21","5.0",".231","3.50","18.2 %","63.6 %","18.2 %","0.0 %","50.0 %","35.7 %","35.7 %","28.6 %","36.1 %","5","31","36","9309"
"Adam Pavkovich","Angels (AAA)","27","1.0",".000","0.50","0.0 %","33.3 %","66.7 %","50.0 %","50.0 %","0.0 %","100.0 %","0.0 %","0.0 %","6","8","14","sa225750"
"Ryan DeLaughter","Brewers (R)","22","5.1",".278","6.00","22.2 %","66.7 %","11.1 %","0.0 %","50.0 %","36.8 %","31.6 %","31.6 %","16.4 %","23","32","55","sa294343"
"Stephen Kahn","Mariners (R)","25","1.0",".333","1.00","0.0 %","50.0 %","50.0 %","0.0 %","50.0 %","25.0 %","25.0 %","50.0 %","18.2 %","4","7","11","sa295723"
"Rob Bryson","Indians (R)","21","3.0",".333","0.75","0.0 %","42.9 %","57.1 %","25.0 %","50.0 %","50.0 %","37.5 %","12.5 %","47.1 %","10","24","34","sa393057"
"Dae-Eun Rhee","- - -","20","8.2",".345","5.25","13.8 %","72.4 %","13.8 %","0.0 %","50.0 %","48.4 %","22.6 %","29.0 %","24.1 %","32","55","87","sa447648"
"Miles Reagan","Diamondbacks (R)","18","11.1",".185","4.75","17.9 %","67.9 %","14.3 %","0.0 %","50.0 %","44.8 %","17.2 %","37.9 %","23.5 %","66","66","132","sa454955"
"Kevin Castner","Rangers (A-)","21","1.2",".778","3.50","10.0 %","70.0 %","20.0 %","0.0 %","50.0 %","60.0 %","20.0 %","20.0 %","21.1 %","20","18","38","sa455068"
"Jon Townsend","Angels (A)","24","0.1",".000","0.00","0.0 %","0.0 %","100.0 %","0.0 %","50.0 %","50.0 %","50.0 %","0.0 %","0.0 %","0","2","2","sa462419"
"Geraldo Bueno","Mexican (AAA)","28","2.0",".333","1.50","28.6 %","42.9 %","28.6 %","50.0 %","50.0 %","42.9 %","28.6 %","28.6 %","2.3 %","21","22","43","sa508760"
"Luis Mendez","Mexican (AAA)","20","2.0",".250","3.00","11.1 %","66.7 %","22.2 %","0.0 %","50.0 %","55.6 %","11.1 %","33.3 %","0.0 %","12","25","37","sa509937"
"Victor Moreno","Mexican (AAA)","30","8.2",".273","1.57","21.7 %","47.8 %","30.4 %","0.0 %","42.9 %","44.0 %","24.0 %","32.0 %","11.1 %","79","120","199","sa203630"
"Kevin Jepsen","Angels (AAA)","24","18.0",".419","3.70","19.0 %","63.8 %","17.2 %","30.0 %","40.0 %","47.0 %","24.2 %","28.8 %","9.9 %","151","245","396","6475"
"Jose De La Cruz","Rays (R)","21","2.1",".300","1.20","8.3 %","50.0 %","41.7 %","0.0 %","40.0 %","66.7 %","25.0 %","8.3 %","0.0 %","13","12","25","sa393083"
"Alejandro Garrido","Mexican (AAA)","23","41.2",".323","2.68","30.8 %","50.4 %","18.8 %","12.0 %","40.0 %","55.0 %","22.1 %","22.9 %","10.5 %","273","415","688","sa509286"
