"Name","Team","Age","IP","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA","FIP","E-F","xFIP","playerid"
"Darwin Parra","Rays (R)","19","0.0","0.00","0.00","0.00","0.00","0.0 %","0.0 %","0.0 %",".000","0.00",".000","100.0 %","0.00","","","","sa873714"
"Danny Oh","Athletics (AA)","26","0.1","27.00","0.00","1.00","0.00","100.0 %","0.0 %","100.0 %",".000","0.00",".000","100.0 %","0.00","-2.82","2.82","-2.82","sa546797"
"J.C. Rodriguez","Athletics (A)","20","0.1","27.00","0.00","1.00","0.00","100.0 %","0.0 %","100.0 %",".000","0.00",".000","100.0 %","0.00","-2.53","2.53","-2.53","sa736688"
"Jon Edwards","Padres (A+)","28","1.0","27.00","0.00","3.00","0.00","100.0 %","0.0 %","100.0 %",".000","0.00",".000","100.0 %","0.00","-2.29","2.29","-2.29","1483"
"Drew Maggi","Dodgers (AAA)","27","0.1","27.00","0.00","1.00","0.00","100.0 %","0.0 %","100.0 %",".000","0.00",".000","100.0 %","0.00","-2.28","2.28","-2.28","sa549144"
"Justin Grimm","Cubs (AAA)","27","1.0","27.00","0.00","3.00","0.00","75.0 %","0.0 %","75.0 %",".250","1.00","1.000","100.0 %","0.00","-2.28","2.28","-1.07","11720"
"Carlos Garay","Rangers (A-)","21","0.1","27.00","0.00","1.00","0.00","33.3 %","0.0 %","33.3 %",".667","6.00","1.000","50.0 %","27.00","-2.23","29.23","-2.23","sa657431"
"Nick Vincent","Mariners (A-)","29","1.0","27.00","0.00","3.00","0.00","75.0 %","0.0 %","75.0 %",".250","1.00","1.000","100.0 %","0.00","-2.23","2.23","-2.23","7555"
"Junior Soto","Indians (R)","19","0.1","27.00","0.00","1.00","0.00","16.7 %","0.0 %","16.7 %",".667","12.00",".800","25.0 %","54.00","-1.88","55.88","-1.88","sa829108"
"Steve Cishek","Mariners (A-)","30","2.0","22.50","0.00","5.00","0.00","45.5 %","0.0 %","45.5 %",".455","2.50",".833","40.0 %","13.50","-1.23","14.73","-0.49","6483"
"Enny Romero","Rays (A+)","25","1.0","18.00","0.00","2.00","0.00","66.7 %","0.0 %","66.7 %",".000","0.00",".000","100.0 %","0.00","-0.75","0.75","0.04","4001"
"Darren O'Day","Orioles (AA)","33","1.0","18.00","0.00","2.00","0.00","50.0 %","0.0 %","50.0 %",".250","1.00",".500","100.0 %","0.00","-0.64","0.64","-0.64","3321"
"Adonny Rojas","Yankees (R)","20","1.1","27.00","6.75","4.00","0.00","80.0 %","20.0 %","60.0 %",".000","0.75",".000","100.0 %","0.00","-0.64","0.64","-0.64","sa924314"
"Skyler Ewing","Giants (A)","23","1.0","18.00","0.00","2.00","0.00","50.0 %","0.0 %","50.0 %",".250","1.00",".500","100.0 %","0.00","-0.60","0.60","0.34","sa827317"
"Michael Lorenzen","Reds (AAA)","24","4.0","15.75","0.00","7.00","0.00","53.9 %","0.0 %","53.9 %",".154","0.50",".333","100.0 %","0.00","-0.33","0.33","-0.07","14843"
"Rich Hill","Athletics (A+)","36","3.0","18.00","0.00","6.00","0.00","46.2 %","0.0 %","46.2 %",".308","1.33",".571","75.0 %","3.00","-0.29","3.29","0.14","4806"
