playerid,year,teamName,League,Level,orgName,lastName,firstName,G,AB,R,H,Dbl,Tpl,HR,RBI,SB,CS,BB,IBB,SO,SH,SF,HBP,GDP,Bavg,Slg,obp,OPS,Age,HT,WT,Bats,Throws,posit,borndate,cityName,regionID,Predicted_WAR,MakeIt_PredictedWAR,Likelihood
101054,2017,Tijuana,Mex,AAA,-,Apodaca,Juan,84,291,51,84,12,1,6,41,0,0,35,0,63,2,2,2,8,0.289,0.399,0.367,766,30,5-11,188,R,R,C,7/15/1986,Caracas,VZ,3.9779500165587,0.604648402516923,0.152
101279,2017,Tijuana,Mex,AAA,-,Gutierrez,Gabriel,34,92,13,30,7,0,2,14,1,1,7,0,10,3,0,1,4,0.326,0.467,0.38,847,33,5-11,175,R,R,C,11/24/1983,Guasave,MX,3.38258283338344,1.1636084946839,0.344
101394,2017,Durango,Mex,AAA,-,Mayora,Daniel,73,283,48,104,15,0,8,38,9,0,28,1,40,0,2,3,10,0.367,0.505,0.427,932,31,5-11,145,R,R,3B,7/27/1985,La Guaira,VZ,5.35514686722558,2.00282492834237,0.374
101559,2017,Norfolk,IL,AAA,BAL,Schoop,Sharlon,26,88,11,17,6,0,5,6,0,0,5,0,19,0,0,2,6,0.193,0.432,0.253,685,30,6-0,160,R,R,1B-2B,4/15/1987,Willemstad,CC,4.7259035589761,0.207939756594948,0.044
122454,2017,Saltillo,Mex,AAA,-,Gomez,Heber,38,139,22,38,6,0,0,14,1,0,12,0,22,3,0,1,4,0.273,0.317,0.336,653,39,5-10,190,R,R,3B,11/3/1977,Veracruz,MX,3.05334497385244,0.598455614875078,0.196
122624,2017,Pawtucket,IL,AAA,BOS,Barfield,Jeremy,3,11,3,5,0,0,1,1,0,0,4,0,1,0,0,0,1,0.455,0.727,0.6,1327,28,6-5,240,R,L,OF,7/12/1988,Houston,TX,8.63306453141624,1.84747580972308,0.214
122756,2017,yucatan,Mex,AAA,-,Estrada,Robi,56,98,17,20,5,0,3,11,3,0,8,0,29,1,1,0,2,0.204,0.347,0.262,609,28,5-11,165,B,R,SS-2B,10/8/1988,Los Angeles,CA,9.21744904114265,0.424002655892562,0.046
122773,2017,Monclova,Mex,AAA,-,Del Campo,Jonathan,4,12,2,2,0,0,0,0,1,0,2,1,1,0,0,0,0,0.167,0.167,0.286,453,29,6-2,185,B,R,SS,5/18/1988,San Luis,MX,3.08139350644839,0.573139192199401,0.186
123051,2017,Tacoma,PCL,AAA,SEA,Wong,Joey,12,36,4,8,1,0,1,5,0,0,6,0,6,0,0,0,0,0.222,0.333,0.333,666,29,5-9,165,L,R,SS-3B,4/12/1988,Salem,OR,4.17535233816568,0.108559160792308,0.026
123461,2017,Quintana Roo,Mex,AAA,-,Retherford,C.J.,44,158,25,50,11,0,6,24,2,2,15,3,36,0,2,7,4,0.316,0.5,0.396,896,31,5-11,190,R,R,3B,8/14/1985,Homestead,FL,3.80017260624813,0.456020712749776,0.12
123674,2017,Nashville,PCL,AAA,OAK,Curtis,Jermaine,22,67,3,17,2,0,0,4,0,0,9,0,15,1,0,2,1,0.254,0.284,0.359,643,29,6-1,190,R,R,3B,7/10/1987,Panorama City,CA,3.52203497246447,0.0704406994492894,0.02
123675,2017,Las Vegas,PCL,AAA,NYN,Decker,Cody,46,126,20,30,4,0,8,21,0,0,12,0,51,0,1,0,3,0.238,0.46,0.302,762,30,5-11,215,R,R,1B,1/17/1987,Santa Monica,CA,3.488637436152,0.439568316955152,0.126
124615,2017,Monterrey,Mex,AAA,-,Flores,Luis,28,69,9,15,3,0,3,4,0,0,2,0,12,1,0,0,1,0.217,0.391,0.239,630,30,5-9,190,R,R,C,11/2/1986,Del Rio,TX,3.9801185520674,0.557216597289435,0.14
