playerid,Overall,Sum_Count
142866,,5
142866,a,8
142866,accuracy,1
142866,all,1
142866,along,2
142866,an,1
142866,and,8
142866,annually,1
142866,appears,1
142866,approach,1
142866,aptitude,1
142866,arm,2
142866,as,1
142866,asset,1
142866,at,4
142866,athlete,3
142866,average,3
142866,back,2
142866,backstop,1
142866,balanced,2
142866,ball,2
142866,balls,1
142866,baseball,1
142866,baserunner,1
142866,bases,1
142866,bat,1
142866,be,3
142866,before,2
142866,behind,1
142866,below,2
142866,better,1
142866,body,4
142866,breaking,1
142866,but,2
142866,can,1
142866,chance,1
142866,cleanly,1
142866,comes,1
142866,coming,3
142866,competitor,1
142866,consistently,1
142866,continuation,2
142866,decent,1
142866,despite,1
142866,difference,1
142866,digs,1
142866,doubles,1
142866,down,1
142866,draft,2
142866,drive,1
142866,drop,1
142866,easy,1
142866,effects,1
142866,elbow,2
142866,emotion,1
142866,enjoy,1
142866,enough,1
142866,every,1
142866,extremely,1
142866,field,1
142866,fits,2
142866,for,2
142866,frequent,1
142866,from,2
142866,full,1
142866,game,3
142866,good,5
142866,half,2
142866,handles,1
142866,hands,3
142866,high,3
142866,highly,1
142866,his,2
142866,hitter,1
142866,home,2
142866,ill,1
142866,in,2
142866,injury,1
142866,instincts,1
142866,issues,2
142866,it,1
142866,john,2
142866,just,1
142866,lacks,1
142866,late,1
142866,leads,2
142866,level,1
142866,line,2
142866,little,2
142866,load,2
142866,loads,1
142866,look,1
142866,lower,2
142866,maintain,1
142866,maker,1
142866,makes,1
142866,minute,1
142866,most,1
142866,muscular,2
142866,never,1
142866,no,1
142866,of,6
142866,on,3
142866,out,1
142866,outward,1
142866,overall,1
142866,part,1
142866,peak,1
142866,physically,2
142866,pitch,1
142866,plate,2
142866,plus,3
142866,pockets,1
142866,points,1
142866,position,2
142866,potential,4
142866,power,1
142866,present,1
142866,profile,1
142866,projection,1
142866,pull,1
142866,quicksharp,1
142866,rates,1
142866,raw,1
142866,receiver,1
142866,receives,1
142866,recovering,2
142866,release,1
142866,remains,1
142866,removed,1
142866,ripped,2
142866,routinely,1
142866,run,1
142866,runs,1
142866,setup,1
142866,shoulder,1
142866,show,1
142866,showings,1
142866,shown,1
142866,shows,1
142866,softer,1
142866,solid,1
142866,some,2
142866,speed,3
142866,start,1
142866,still,4
142866,strength,2
142866,strong,3
142866,sturdy,2
142866,surgery,3
142866,swing,1
142866,that,2
142866,the,15
142866,them,1
142866,throughout,1
142866,to,7
142866,tommy,2
142866,towards,1
142866,tremendous,2
142866,troubl,1
142866,true,2
142866,up,2
142866,upper,2
142866,velocity,2
142866,very,4
142866,was,2
142866,well,5
142866,when,1
142866,will,1
142866,with,7
142866,year,2
170891,a,2
170891,accuracy,1
170891,aggressive,1
170891,all,1
170891,an,1
170891,and,2
170891,arm,1
170891,as,1
170891,at,1
170891,athlete,2
170891,average,3
170891,backhand,1
170891,bat,1
170891,belowaverage,1
170891,better,1
170891,body,3
170891,bring,1
170891,bringing,1
170891,but,1
170891,capable,1
170891,comes,1
170891,command,1
170891,confidence,1
170891,consistent,1
170891,control,1
170891,count,1
170891,defensive,1
170891,diamond,1
170891,difficult,1
170891,doubles,1
170891,early,1
170891,even,1
170891,execute,1
170891,eye,1
170891,fair,1
170891,fairly,1
170891,field,1
170891,fielder,1
170891,first,1
170891,footwork,1
170891,for,2
170891,frame,2
170891,full,1
170891,game,1
170891,get,1
170891,given,1
170891,goes,1
170891,good,3
170891,hand,1
170891,hands,2
170891,has,1
170891,he,2
170891,ideal,2
170891,in,2
170891,infielder,1
170891,is,1
170891,lacks,1
170891,large,2
170891,lateral,1
170891,limited,1
170891,linedrive,1
170891,loft,1
170891,looking,2
170891,mechanics,1
170891,much,1
170891,mustard,1
170891,not,1
170891,of,2
170891,on,1
170891,over,1
170891,overthefence,1
170891,part,1
170891,path,2
170891,plate,1
170891,play,1
170891,player,2
170891,plays,2
170891,plus,1
170891,pop,1
170891,position,2
170891,power,3
170891,present,1
170891,primarily,1
170891,profiles,1
170891,pullside,1
170891,quality,2
170891,range,1
170891,runner,2
170891,short,1
170891,shows,1
170891,simcox,1
170891,size,2
170891,soft,1
170891,some,1
170891,speed,2
170891,stance,1
170891,step,1
170891,strength,1
170891,strong,2
170891,suggests,1
170891,surprising,1
170891,swing,2
170891,tall,1
170891,tends,1
170891,than,1
170891,the,4
170891,throws,1
170891,to,3
170891,uses,1
170891,utility,2
170891,value,1
170891,well,2
170891,whole,1
170891,will,1
170891,with,3
170891,wont,1
170891,zone,1
180489,,2
180489,a,5
180489,ability,2
180489,aboveaverage,3
180489,add,2
180489,age,1
180489,an,2
180489,and,2
180489,approach,2
180489,arm,3
180489,at,4
180489,athlete,1
180489,attempt,1
180489,avelino,1
180489,back,1
180489,ball,2
180489,balls,1
180489,base,1
180489,bat,1
180489,be,1
180489,because,1
180489,being,1
180489,best,1
180489,breaking,1
180489,but,3
180489,can,4
180489,ceiling,1
180489,contact,1
180489,counts,1
180489,coverage,1
180489,deep,1
180489,developed,2
180489,doesnt,2
180489,drive,1
180489,driveground,1
180489,enough,1
180489,ever,1
180489,first,1
180489,fluid,1
180489,for,2
180489,from,2
180489,gap,1
180489,get,3
180489,gets,1
180489,good,1
180489,growth,2
180489,handle,3
180489,hands,1
180489,happy,1
180489,has,1
180489,have,2
180489,he,1
180489,high,2
180489,higha,1
180489,him,1
180489,his,3
180489,hitting,1
180489,home,2
180489,however,1
180489,identifying,1
180489,impa,1
180489,interesting,1
180489,is,1
180489,isnt,1
180489,keep,1
180489,lack,1
180489,laterally,1
180489,leads,1
180489,left,1
180489,limits,1
180489,line,1
180489,little,1
180489,makes,1
180489,more,1
180489,move,1
180489,movements,1
180489,much,1
180489,needs,2
180489,neutral,1
180489,no,2
180489,not,3
180489,of,4
180489,often,1
180489,on,2
180489,opportunities,1
180489,patient,1
180489,physically,2
180489,pitching,1
180489,plate,1
180489,plays,2
180489,plus,3
180489,power,3
180489,present,1
180489,prospect,1
180489,pull,1
180489,quick,1
180489,quickly,1
180489,range,1
180489,rates,1
180489,respectably,1
180489,right,1
180489,room,2
180489,rotational,1
180489,routine,1
180489,run,1
180489,second,1
180489,short,1
180489,shortstop,2
180489,side,2
180489,sits,1
180489,small,2
180489,smooth,1
180489,speed,2
180489,stance,1
180489,stick,1
180489,strength,2
180489,struggles,2
180489,swing,1
180489,tentative,1
180489,terribly,1
180489,thanks,1
180489,that,1
180489,the,1
180489,to,12
180489,ton,2
180489,too,1
180489,top,1
180489,twitch,1
180489,where,1
180489,will,2
180489,with,2
180489,work,1
180489,would,1
159666,,1
159666,a,3
159666,adequately,1
159666,an,2
159666,and,6
159666,approach,2
159666,arm,3
159666,armaction,1
159666,arms,2
159666,around,1
159666,at,2
159666,atbats,1
159666,average,2
159666,ball,1
159666,balls,2
159666,base,1
159666,bat,1
159666,batspeed,2
159666,because,2
159666,below,1
159666,big,1
159666,but,4
159666,butt,2
159666,can,1
159666,carry,1
159666,chance,1
159666,clocked,1
159666,consistently,1
159666,dangerous,1
159666,defender,1
159666,despite,1
159666,does,3
159666,easy,1
159666,evenkeeled,1
159666,exceptionally,1
159666,extremely,2
159666,field,3
159666,finish,1
159666,first,3
159666,flaw,1
159666,fly,1
159666,for,3
159666,forward,1
159666,fringy,1
159666,from,1
159666,frustration,1
159666,games,1
159666,get,1
159666,handles,1
159666,has,1
159666,have,2
159666,he,1
159666,high,2
159666,him,1
159666,his,1
159666,hit,1
159666,hurry,1
159666,in,5
159666,injured,1
159666,is,1
159666,it,1
159666,jumps,1
159666,last,1
159666,least,1
159666,left,1
159666,legs,2
159666,little,2
159666,long,4
159666,look,1
159666,looked,1
159666,looks,1
159666,major,2
159666,make,1
159666,moves,1
159666,natural,1
159666,needs,1
159666,never,1
159666,not,5
159666,of,3
159666,off,1
159666,on,2
159666,once,1
159666,out,2
159666,ov,1
159666,pitch,1
159666,play,1
159666,plus,2
159666,poor,1
159666,power,3
159666,quick,1
159666,quiet,1
159666,raw,1
159666,recognition,1
159666,right,2
159666,runs,1
159666,seems,1
159666,sell,2
159666,should,1
159666,shows,1
159666,side,1
159666,speed,1
159666,stance,1
159666,stays,1
159666,step,1
159666,steps,1
159666,still,1
159666,strike,1
159666,strong,2
159666,swing,2
159666,take,1
159666,tall,1
159666,the,2
159666,throws,1
159666,to,5
159666,tracks,1
159666,two,1
159666,underway,1
159666,up,1
159666,uppercut,1
159666,very,1
159666,was,2
159666,well,4
159666,wellbuilt,2
159666,with,2
159666,zone,1
153437,,2
153437,a,10
153437,absolutely,1
153437,all,1
153437,already,2
153437,and,13
153437,annihilate,1
153437,any,1
153437,are,2
153437,arm,2
153437,arms,1
153437,as,2
153437,at,3
153437,average,2
153437,b,2
153437,backspin,1
153437,ball,1
153437,balls,1
153437,barrel,1
153437,base,3
153437,bat,3
153437,be,2
153437,before,1
153437,below,1
153437,best,1
153437,big,1
153437,bigger,2
153437,both,1
153437,built,2
153437,but,5
153437,can,2
153437,carries,1
153437,carry,1
153437,chance,1
153437,clocked,1
153437,come,1
153437,comes,1
153437,contact,1
153437,control,1
153437,corner,1
153437,defender,1
153437,derail,1
153437,developed,2
153437,does,4
153437,doesnt,1
153437,doubt,1
153437,down,1
153437,due,1
153437,elite,1
153437,elongated,1
153437,enough,1
153437,entire,1
153437,extreme,2
153437,fastball,1
153437,fb,1
153437,field,1
153437,first,2
153437,for,3
153437,forever,1
153437,frame,4
153437,from,2
153437,fully,1
153437,game,1
153437,generates,1
153437,get,1
153437,giant,4
153437,gives,1
153437,good,1
153437,grade,1
153437,hands,2
153437,happen,1
153437,has,3
153437,he,2
153437,him,2
153437,hips,1
153437,his,1
153437,hit,3
153437,hitch,1
153437,hits,1
153437,home,1
153437,huge,2
153437,impressive,1
153437,in,2
153437,ingame,1
153437,instincts,1
153437,is,2
153437,issues,1
153437,it,1
153437,lacks,2
153437,large,1
153437,lateral,1
153437,leak,1
153437,leave,1
153437,leaving,1
153437,leveraged,1
153437,limited,1
153437,listed,2
153437,little,2
153437,load,1
153437,long,1
153437,makes,1
153437,maxed,2
153437,mind,1
153437,moderate,1
153437,more,1
153437,no,2
153437,noise,1
153437,not,6
153437,of,2
153437,offspeed,1
153437,on,3
153437,only,1
153437,other,1
153437,over,1
153437,package,1
153437,physical,2
153437,physically,2
153437,pitch,5
153437,pitches,1
153437,play,1
153437,player,2
153437,plus,3
153437,poor,2
153437,power,3
153437,presence,2
153437,professional,1
153437,profile,1
153437,prospect,1
153437,provide,1
153437,quick,1
153437,range,2
153437,raw,2
153437,recognition,3
153437,recognize,2
153437,release,1
153437,released,1
153437,rodriguez,1
153437,run,1
153437,shots,1
153437,simply,1
153437,size,1
153437,slow,1
153437,soft,1
153437,speed,4
153437,spin,1
153437,star,1
153437,still,1
153437,strength,3
153437,suited,1
153437,suscep,1
153437,swing,3
153437,takes,1
153437,tall,2
153437,than,3
153437,that,1
153437,the,5
153437,there,1
153437,third,2
153437,this,1
153437,time,1
153437,times,1
153437,to,8
153437,tool,1
153437,tools,1
153437,top,2
153437,topofthecharts,1
153437,towering,1
153437,tremendous,1
153437,true,1
153437,two,1
153437,up,1
153437,usually,1
153437,value,1
153437,varie,1
153437,waiting,1
153437,well,6
153437,wellbelow,1
153437,wellplaced,1
153437,what,1
153437,when,1
153437,which,1
153437,will,3
153437,with,2
153437,would,2
170896,,2
170896,acceleration,1
170896,actions,1
170896,advanced,1
170896,against,1
170896,allows,1
170896,amateur,1
170896,and,4
170896,arm,1
170896,armstr,1
170896,as,3
170896,at,2
170896,athleticism,2
170896,average,1
170896,avg,2
170896,b,1
170896,back,2
170896,balls,1
170896,base,3
170896,batspeed,1
170896,batspeedswingplane,1
170896,batwag,2
170896,best,1
170896,better,1
170896,body,3
170896,both,1
170896,broadness,2
170896,build,2
170896,carry,1
170896,contact,1
170896,covering,1
170896,crouch,2
170896,deep,1
170896,defender,1
170896,defensive,2
170896,difficulty,1
170896,doubledigit,1
170896,elbow,2
170896,enough,1
170896,experienced,1
170896,fair,1
170896,fairly,2
170896,features,2
170896,firststep,1
170896,focus,1
170896,for,3
170896,fringy,2
170896,from,1
170896,full,1
170896,gap,1
170896,get,1
170896,gets,1
170896,halves,1
170896,hands,2
170896,handset,2
170896,hardhanded,1
170896,hasnt,1
170896,height,2
170896,high,2
170896,highest,1
170896,hitting,1
170896,hole,1
170896,hr,1
170896,in,2
170896,inside,1
170896,is,1
170896,lacks,1
170896,legs,1
170896,level,1
170896,limited,1
170896,load,2
170896,loft,1
170896,long,3
170896,longer,1
170896,loose,2
170896,medium,2
170896,midminors,1
170896,minimal,3
170896,mlregular,1
170896,moderate,2
170896,more,1
170896,movement,2
170896,muscular,2
170896,occasionally,1
170896,of,1
170896,offensive,1
170896,on,3
170896,outandarou,2
170896,outerhalf,1
170896,overextended,1
170896,physicality,1
170896,pitches,1
170896,pitching,1
170896,plate,1
170896,plays,1
170896,power,1
