web-scraper-order,web-scraper-start-url,playerpage,playerpage-href,name and birthday,batting,throwing,height,weight,affiliate,OFP p,realistic p,mlb eta p,Overall,mechanics,risk factor,mlb eta,OFP,realistic,primary position,secondary position,physical,Hit,Power,baserunning,glove,arm,hit score,power score,baserunning score,glove score,arm score
"1531175652-681","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Gabriel Encinas","https://legacy.baseballprospectus.com/prospects/eyewitness_pit.php?reportid=336","Gabriel Encinas

			Born: 12/21/1991 (Age: 24)","Bats: Right","Throws: Right","Height: 6' 3""","Weight: 195","Tampa Yankees (High A, Yankees)","30","Organizational Middle Relief Arm","","Overall command- 30/35

Overall Control- 40/40



Lacks command for viable big league role, could improve in shorter spurts in a relief role but I don't see it given delivery hindrances.","Large frame and body and lacks remaining projection at this point in career. Pitches from a 1/2 windup, slight crossfire, tended to lose balance and direction in delivery which would hinder control. Smooth arm action and above average arm speed, 3/4 slot.","60","Fastball","65","92-94","null","null","Large frame and body and lacks remaining projection at this point in career. Pitches from a 1/2 windup, slight crossfire, tended to lose balance and direction in delivery which would hinder control. Smooth arm action and above average arm speed, 3/4 slot.","null","40","30","null","null","60","40","30","null","null"
"1531174753-262","https://legacy.baseballprospectus.com/prospects/eyewitness.php","James Ramsay","https://legacy.baseballprospectus.com/prospects/eyewitness_bat.php?reportid=290","James Ramsay
		Born: 03/02/1992 (Age: 23)","Bats: Left","Throws: Left","Height: 5' 11""","Weight: 200","null","null","null","null","Excellent makeup; quiet, keeps his head down and goes about his business; puts in the work, busts his ass; every warm-up throw between innings is on a line and crisp, rarely checks up down the line.","Compact, muscular frame; cut across the chest and arms, strong base, well-proportioned.","Moderate","2017","45","40/fifth outfielder","Primary Position: RF","Secondary Position: CF","Compact, muscular frame; cut across the chest and arms, strong base, well-proportioned.","Wide-spread stance, very quiet setup; minimal load with modest bat wrap, very quiet momentum shift to the back leg, front shoulder tucks in; steep angle into the zone, minimal leverage, handsy swing with premium barrel control; below-average bat speed with minimal lower-half engagement, short stroke, plus bat-to-ball; balanced, fluid in the top half, commands the zone against opposite-handed pitching; has a plan, disciplined in execution.","Minimal leverage, top-spin contact to pull side; gap-to-gap hitter, rarely looks to extend and drive; strong enough to run into a few a year, limited in-game utility.","4.07 average, max effort down the line; efficient running motion, gets low; raw reads, slow break on stolen base attempts, utility on the bases plays below raw foot speed; gets to second gear quickly.","Quality reads in center and right, first step is usually the right one; efficient route-runner, reads spin and trajectory; speed limits range, controls his radius, above-average closing speed; capable of handling all three outfield positions.","Solid-average arm strength, fundamentally sound field-and-transfer, gets body behind his throws; average carry, accurate, arm is stretched a bit in right but can play.","40","20","55","55","50"
"1531176038-864","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Miguel Andujar","https://legacy.baseballprospectus.com/prospects/eyewitness_bat.php?reportid=286","Miguel Andujar
		Born: 03/02/1995 (Age: 20)","Bats: Right","Throws: Right","Height: 6' 0""","Weight: 215","null","null","null","null","Andujar is tremendously talented but with some major flaws that could keep him from reaching his ceiling. He's a good athlete, already strong and well-developed for his age. He has three legitimate plus tools in raw power, speed and arm strength. He's presently a below-average defender at third base, though he has the athleticism to be an average player there. If not, he could handle a move to right field, which would put more pressure on his bat but not as much as if he would have to move to first base.



The hit tool will determine how the entire package comes together, however. He has the tools to be a good major league hitter, with plenty of bat speed and a developing idea of how to use the whole field. But he currently struggles with identifying some breaking balls and implementing his plan at the plate. His swing can get long and he swings through too many off-speed pitches.



The hit tool may never be better than average, but even that will allow the power to play. If it remains below average, his power production will be affected and thus lower his overall profile.","Strong frame, some physical development has already taken place but has room for more strength; long limbs and high waist.","Moderate","2018","55","45, second-division regular","Primary Position: 3B","null","Strong frame, some physical development has already taken place but has room for more strength; long limbs and high waist.","Free swinger with a big swing; some violence in his swing, doesn't get cheated; long arms can cause swing to get long at times; has a tendency to get pull happy, but can be a dangerous hitter when he stays up the middle and uses the whole field; has the ability to cover the entire plate when he works up the middle; average feel for barrel, will have to formulate a better plan on pitch selection.","Plus raw power, creates backspin; strong and long frame generates plus bat speed, ball jumps off bat; easy pull power, gap power to opposite field at present, but developing and improving; should develop home run power to all fields at peak; in-game home run production could be limited by hit tool and pitch selection.","Surprisingly fast runner, 4.15-4.20 home to first from right side despite long swing; average acceleration but plus speed once underway.","Awkward actions at third base; not smooth on ground balls, gets away with below-average footwork thanks to average hands.","Plus arm, plus carry; long arm action, takes some extra time to release throws.","40","60","60","40","60"
"1531174708-241","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Daniel Reynolds","https://legacy.baseballprospectus.com/prospects/eyewitness_pit.php?reportid=178","Daniel Reynolds

			Born: 05/02/1991 (Age: 23)","Bats: Right","Throws: Right","Height: 6' 0""","Weight: 190","Inland Empire 66ers (High A, Angels)","50","45; Middle-reliever","Late 2014","Reynolds rarely had to go to his short-slider in either look, as his fastball dominated High-A competition back in April. It's an above-average pitch when he has his command of it because of the high-octane movement it features. He's all the way in Triple-A now, where he looks to crack the thin Angels bullpen by the end of the summer. The short-slider he featured doesn't have the length or tilt to become a plus offering from what I saw. If he can lengthen it, or develop another breaking pitch that can miss major league bats, I can certainly see a late-innings arm. As of now, I can see middle-relief potential, on the back of his plus-plus fastball.","Small, lanky frame; 6'0/170 is accurate; low 3/4 delivery; loses plane; can land upright; tendency to under-rotate hips and finished closed to the plate; super quick arm; ball comes out easy; fast-paced delivery.","65","FB","70","93-96","null","null","Small, lanky frame; 6'0/170 is accurate; low 3/4 delivery; loses plane; can land upright; tendency to under-rotate hips and finished closed to the plate; super quick arm; ball comes out easy; fast-paced delivery.","null","50","null","null","null","65","45","null","null","null"
"1531175128-439","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Shed Long","https://legacy.baseballprospectus.com/prospects/eyewitness_bat.php?reportid=375","Shed Long
		Born: 08/22/1995 (Age: 20)","Bats: Left","Throws: Right","Height: 5' 8""","Weight: 184","null","null","null","null","Plus makeup, good energy and interactions with umpires and teammates, plays hard","Short, athletic frame, strength in the lower half","Moderate","2019","45","40/Bench Utility","Primary Position: 2B","Secondary Position: 3B","Short, athletic frame, strength in the lower half","High leg kick, moderate load; noisy swing, front foot hitter, above-average bat speed; aggressive hitter, middle and pull approach","Above-average bat speed, line drive power, raw","3.9 home-to-first; top-scale raw speed; improving stolen-base technique","Average range and mobility; former catcher, new to middle-infield, will benefit from time in field, fringe-average tools","Above-average arm strength; quick arm action with good carry","40","40","75","45","50"
"1531174432-116","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Eugenio Suarez","https://legacy.baseballprospectus.com/prospects/eyewitness_bat.php?reportid=81","Eugenio Suarez
		Born: 07/18/1991 (Age: 22)","Bats: Right","Throws: Right","Height: 5' 11""","Weight: 213","null","null","null","null","Keeps his calm; looks to enjoy the game while keeping himself locked in; can look apathetic at times with body motions, but the fire is evident in the eyes.","Small-framed; little physical projection left; thicker bottom-half; legs are maxed out; top half could see more muscle but could become too bulky for a SS.","Medium","2015","50","45; Utility Infielder","Primary Position: SS","Secondary Position: 2B","Small-framed; little physical projection left; thicker bottom-half; legs are maxed out; top half could see more muscle but could become too bulky for a SS.","Swing is short; compact; minimal movement; quick wrist flicks; steady path through zone; solid-average bat speed; keeps hands and elbow quiet; feet can become sloppy at times; moderate load; easy swing; shows ability to pull hands in against inside pitches; average eye and discipline; recognizes spin off hand.","Minimal power; quick bat and mild arc allow for Suarez to drive the ball; quick torquing hips; doubles power but shows ability to pull and drive ball down the line; will never be known as a power guy.","Not a burner; shows average speed; second gear is decent; ability to steal bases is more based on ability to read a pitcher.","Average range; moves well to the SS hole; less range up middle; quick feet; soft hands; ability to charge short-hoppers; footwork around base needs work; back-hands too many plays in the hole when he could simply set himself and provide an easier throw.","Plus arm strength; throws are erratic; sometimes will short-arm to first base, resulting in balls sailing or below the first basemen's knees.","50","40","50","50","55"
"1531176062-875","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Yadier Alvarez","https://legacy.baseballprospectus.com/prospects/eyewitness_pit.php?reportid=462","Yadier Alvarez

			Born: 03/07/1996 (Age: 20)","Bats: Right","Throws: Right","Height: 6' 3""","Weight: 175","Great Lakes Loons (Low A, Dodgers)","60","55: Mid-Rotation Starter","2018","Alvarez works off a plus-plus heater, using his lanky body to his advantage by creating extension and a quality downhill angle to attack with it. He sequences it well with his slider, which flashes as a plus pitch with swing-and-miss potential. The changeup needs a good bit of work to develop utility, though his athletic delivery offers some cause for optimism that it improves to become a fringe-average pitch. He showed a couple curveballs in the second start, but neither featured great shape or finish. He's still learning how to harness his body, and it shows with occasional bouts of command inconsistency. 



Alvarez has front-line potential, but more likely profiles as a heavy fastball-slider type whose future role will be tied tightly to the development of a third pitch to keep lefties honest.","Start, stop, and go delivery, early hitch into leg lift; full arm circle, long path to three-quarter slot, quick arm, generates extension; finishes easy, some mild violence; athletic, fields his position well, shows poise on the mound","60","FB","70","95-98","null","null","Start, stop, and go delivery, early hitch into leg lift; full arm circle, long path to three-quarter slot, quick arm, generates extension; finishes easy, some mild violence; athletic, fields his position well, shows poise on the mound","null","60","45","null","null","60","40","30","null","null"
"1531176095-891","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Jorge Alfaro","https://legacy.baseballprospectus.com/prospects/eyewitness_bat.php?reportid=71","Jorge Alfaro
		Born: 06/11/1993 (Age: 20)","Bats: Right","Throws: Right","Height: 6' 2""","Weight: 225","null","null","null","null","Hard worker; English-speaking; emotional on the field; can carry failure throughout a game; highly competitive with an intense love of playing. Perfect passion and leadership skills necessary to excel behind the plate.","Man-strength; accurate height; weight appears closer to 220; chiseled; highly athletic; body projects well.","High","2015","70","60; first-division player","Primary Position: C","Secondary Position: 1B","Man-strength; accurate height; weight appears closer to 220; chiseled; highly athletic; body projects well.","Torque-heavy swing that can get loose and hard to control; approach puts him in poor hitting counts and he struggles to work himself back into at-bats; bat speed is plus-plus and capable of pulling major league quality velocity; struggles with secondary stuff; massive when he gets extension but not a short to the ball type that can maneuver the barrel with great ease or work with challenging pitches; .265-275 type","Raw power is 70; game power likely to play in the plus range; excellent strength; excellent bat speed; power core is right-center gap; looks to extend and drive the baseball out of the park; lift in the swing; 25+ bombs in the future.","Routinely clocks sub 4.2 times to first; easy plus (at present) with the second gear; likely to slow with continued physically maturity and physical demands on the position; will have well above-average speed for a catcher; better-than-you-think athlete.","Receiving skills continue to improve; softer and more stable with the glove; no longer stabs and drifts; hands and wrists are very strong; broad shoulders and a big target; can get overly aggressive in the running game a cost a pitcher a few strikes throughout a game; blocks the ball very well because of the athleticism and improved footwork; plus with more refinement.","Elite arm strength; routinely pops sub 1.85; clocked catcher during sample in the 1.75 range; quick release; throws lasers on a line; true weapon; can get overly aggressive on back-picks and isn't quick to forget missed opportunities; will control running game at highest level.","55","60","55","60","80"
"1531174812-290","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Philip Pfeifer","https://legacy.baseballprospectus.com/prospects/eyewitness_pit.php?reportid=425","Philip Pfeifer

			Born: 07/15/1992 (Age: 23)","Bats: Left","Throws: Left","Height: 6' 0""","Weight: 200","Rancho Cucamonga Quakes (High A, Dodgers)","40","30/Org Arm","2018","Drafted out of Vanderbilt in the third round (101st overall) in 2015 and signed for an under-slot deal, Pfeifer shows quality raw stuff highlighted by premium fastball ingredients and a solid changeup with bat-missing ability. The motion lacks repeatability, however, with violence early and often and very poor timing. A deep, closed-off arm action forces him to come all the way around and over his body, and his is a noisy motion with ample opportunity for timing issues to crop up. Projection to even 40 future command in doubt, though as a left-hander with quality stuff he'll have every opportunity to figure it out. There's ostensibly a path to middle-inning duty down the line, but the motion's going to need a lot of smoothing out to get him there.","Stretch-only, fast leg kick, effort, gets low quickly on his back leg, closed-off front side; extremely deep arm action, long arm path; high three-quarter slot; gets downhill; moderate spine tilt, poor repeatability, late to slot; 3 present command with a road to 4 future","50","FB","55","91-94","null","null","Stretch-only, fast leg kick, effort, gets low quickly on his back leg, closed-off front side; extremely deep arm action, long arm path; high three-quarter slot; gets downhill; moderate spine tilt, poor repeatability, late to slot; 3 present command with a road to 4 future","null","55","40","null","null","50","45","30","null","null"
"1531175522-622","https://legacy.baseballprospectus.com/prospects/eyewitness.php","Chi Chi Gonzalez","https://legacy.baseballprospectus.com/prospects/eyewitness_pit.php?reportid=94","Chi Chi Gonzalez

			Born: 01/15/1992 (Age: 22)","Bats: Right","Throws: Right","Height: 6' 3""","Weight: 215","Myrtle Beach Pelicans (High A, Cubs)","65","60; no. 3 starter","Late 2014","Chi Chi Gonzalez is an advanced college arm ready to move up through the system. The mechanics are much cleaner and the stuff is advanced. He is presently working on pitches but still has the swing and misses stuff to strikeout hitters in High-A. He holds velocity throughout his outing and can reach back for more when needed. He flashes two plus secondaries with a plus current FB that can be used as a weapon based on how he can manipulate it. The overall command profile needs refinement but the cleaner mechanics give me reason to believe it will play solid average to plus and as well as improving the CH.","physical frame; thick lower half; innings eating horse; long stride to the plate; keeps good momentum and balance throughout; short arm action to 3/4 slot; stays closed a long time  then explodes to plate; hips and shoulders rotate on time and arm comes through clean and fast; gets extended very well on FB; repeated mechanics much better than last year; not much physical projection left or needed; very good athlete.","60","FB","65","90-94","null","null","physical frame; thick lower half; innings eating horse; long stride to the plate; keeps good momentum and balance throughout; short arm action to 3/4 slot; stays closed a long time  then explodes to plate; hips and shoulders rotate on time and arm comes through clean and fast; gets extended very well on FB; repeated mechanics much better than last year; not much physical projection left or needed; very good athlete.","null","60","60","45","null","60","60","50","40","null"
