Level,UniquePlayers,Year
A+,703.0,1977.0
A+,853.0,1978.0
A+,874.0,1979.0
A+,944.0,1980.0
A+,865.0,1981.0
A+,942.0,1982.0
A+,922.0,1983.0
A+,989.0,1984.0
A+,1053.0,1985.0
A+,1095.0,1986.0
A+,1180.0,1987.0
A+,1229.0,1988.0
A+,1213.0,1989.0
A+,1260.0,1990.0
A+,1239.0,1991.0
A+,1206.0,1992.0
A+,1223.0,1993.0
A+,1258.0,1994.0
A+,1334.0,1995.0
A+,1354.0,1996.0
A+,1389.0,1997.0
A+,1407.0,1998.0
A+,1349.0,1999.0
A+,1400.0,2000.0
A+,1395.0,2001.0
A+,1401.0,2002.0
A+,1418.0,2003.0
A+,1413.0,2004.0
A+,1459.0,2005.0
A+,1446.0,2006.0
A+,1508.0,2007.0
A+,1561.0,2008.0
A+,1540.0,2009.0
A+,1614.0,2010.0
A+,1540.0,2011.0
A+,1565.0,2012.0
A+,1616.0,2013.0
A+,1573.0,2014.0
A+,1644.0,2015.0
A+,1679.0,2016.0
A+,1781.0,2017.0
A,500.0,1977.0
A,504.0,1978.0
A,479.0,1979.0
A,580.0,1980.0
A,656.0,1981.0
A,765.0,1982.0
A,760.0,1983.0
A,800.0,1984.0
A,746.0,1985.0
A,767.0,1986.0
A,846.0,1987.0
A,911.0,1988.0
A,916.0,1989.0
A,960.0,1990.0
A,1010.0,1991.0
A,1029.0,1992.0
A,1024.0,1993.0
A,1041.0,1994.0
A,1118.0,1995.0
A,1046.0,1996.0
A,1071.0,1997.0
A,1100.0,1998.0
A,1143.0,1999.0
A,1157.0,2000.0
A,1257.0,2001.0
A,1237.0,2002.0
A,1290.0,2003.0
A,1287.0,2004.0
A,1286.0,2005.0
A,1318.0,2006.0
A,1329.0,2007.0
A,1399.0,2008.0
A,1383.0,2009.0
A,1366.0,2010.0
A,1360.0,2011.0
A,1411.0,2012.0
A,1435.0,2013.0
A,1426.0,2014.0
A,1473.0,2015.0
A,1506.0,2016.0
A,1581.0,2017.0
AAA,778.0,1977.0
AAA,808.0,1978.0
AAA,829.0,1979.0
AAA,816.0,1980.0
AAA,795.0,1981.0
AAA,896.0,1982.0
AAA,890.0,1983.0
AAA,904.0,1984.0
AAA,925.0,1985.0
AAA,960.0,1986.0
AAA,1012.0,1987.0
AAA,1029.0,1988.0
AAA,1005.0,1989.0
AAA,1075.0,1990.0
AAA,1100.0,1991.0
AAA,1088.0,1992.0
AAA,1149.0,1993.0
AAA,1104.0,1994.0
AAA,1421.0,1995.0
AAA,1227.0,1996.0
AAA,1246.0,1997.0
AAA,1378.0,1998.0
AAA,1360.0,1999.0
AAA,1725.0,2000.0
AAA,1734.0,2001.0
AAA,1678.0,2002.0
AAA,1725.0,2003.0
AAA,1807.0,2004.0
AAA,1829.0,2005.0
AAA,1867.0,2006.0
AAA,1944.0,2007.0
AAA,1975.0,2008.0
AAA,1841.0,2009.0
AAA,2102.0,2010.0
AAA,2127.0,2011.0
AAA,1937.0,2012.0
AAA,2275.0,2013.0
AAA,2270.0,2014.0
AAA,2365.0,2015.0
AAA,2431.0,2016.0
AAA,2519.0,2017.0
A-,497.0,1977.0
A-,550.0,1978.0
A-,538.0,1979.0
A-,493.0,1980.0
A-,443.0,1981.0
A-,473.0,1982.0
A-,613.0,1983.0
A-,629.0,1984.0
A-,650.0,1985.0
A-,617.0,1986.0
A-,638.0,1987.0
A-,633.0,1988.0
A-,702.0,1989.0
A-,725.0,1990.0
A-,721.0,1991.0
A-,734.0,1992.0
A-,735.0,1993.0
A-,743.0,1994.0
A-,758.0,1995.0
A-,737.0,1996.0
A-,764.0,1997.0
A-,783.0,1998.0
A-,806.0,1999.0
A-,843.0,2000.0
A-,860.0,2001.0
A-,906.0,2002.0
A-,896.0,2003.0
A-,921.0,2004.0
A-,908.0,2005.0
A-,915.0,2006.0
A-,945.0,2007.0
A-,952.0,2008.0
A-,926.0,2009.0
A-,952.0,2010.0
A-,966.0,2011.0
A-,975.0,2012.0
A-,997.0,2013.0
A-,1066.0,2014.0
A-,1050.0,2015.0
A-,1097.0,2016.0
A-,1164.0,2017.0
Rk,627.0,1977.0
Rk,649.0,1978.0
Rk,670.0,1979.0
Rk,792.0,1980.0
Rk,874.0,1981.0
Rk,875.0,1982.0
Rk,772.0,1983.0
Rk,823.0,1984.0
Rk,800.0,1985.0
Rk,795.0,1986.0
Rk,887.0,1987.0
Rk,1149.0,1988.0
Rk,1238.0,1989.0
Rk,1260.0,1990.0
Rk,1274.0,1991.0
Rk,1345.0,1992.0
Rk,1357.0,1993.0
Rk,1370.0,1994.0
Rk,1332.0,1995.0
Rk,1327.0,1996.0
Rk,1326.0,1997.0
Rk,1399.0,1998.0
Rk,1455.0,1999.0
Rk,1487.0,2000.0
Rk,1424.0,2001.0
Rk,1475.0,2002.0
Rk,1515.0,2003.0
Rk,1568.0,2004.0
Rk,1582.0,2005.0
Rk,1621.0,2006.0
Rk,1800.0,2007.0
Rk,1863.0,2008.0
Rk,1941.0,2009.0
Rk,3195.0,2010.0
Rk,3237.0,2011.0
Rk,3282.0,2012.0
Rk,3362.0,2013.0
Rk,3452.0,2014.0
Rk,3533.0,2015.0
Rk,3903.0,2016.0
Rk,3923.0,2017.0
AA,748.0,1977.0
AA,742.0,1978.0
AA,749.0,1979.0
AA,820.0,1980.0
AA,805.0,1981.0
AA,841.0,1982.0
AA,864.0,1983.0
AA,872.0,1984.0
AA,886.0,1985.0
AA,906.0,1986.0
AA,919.0,1987.0
AA,933.0,1988.0
AA,953.0,1989.0
AA,966.0,1990.0
AA,979.0,1991.0
AA,990.0,1992.0
AA,1015.0,1993.0
AA,1058.0,1994.0
AA,1242.0,1995.0
AA,1095.0,1996.0
AA,1178.0,1997.0
AA,1191.0,1998.0
AA,1242.0,1999.0
AA,1271.0,2000.0
