UniquePlayers,Year
3163.0,1977.0
3443.0,1978.0
3494.0,1979.0
3716.0,1980.0
3744.0,1981.0
4028.0,1982.0
4005.0,1983.0
4151.0,1984.0
4252.0,1985.0
4205.0,1986.0
4507.0,1987.0
4751.0,1988.0
4927.0,1989.0
5068.0,1990.0
5135.0,1991.0
5155.0,1992.0
5275.0,1993.0
5332.0,1994.0
5755.0,1995.0
5374.0,1996.0
5370.0,1997.0
5539.0,1998.0
5696.0,1999.0
6051.0,2000.0
6077.0,2001.0
6080.0,2002.0
6179.0,2003.0
6232.0,2004.0
6290.0,2005.0
6259.0,2006.0
6544.0,2007.0
6687.0,2008.0
6534.0,2009.0
8005.0,2010.0
8120.0,2011.0
8035.0,2012.0
8476.0,2013.0
8558.0,2014.0
8679.0,2015.0
9063.0,2016.0
9208.0,2017.0
